round,payload,prediction,result,confidence,internal_model_latency_ms,total_api_latency_ms
1,' OR 1=1--,1,SQL Injection,0.9630976915359497,6.153500000436907,19.404100000429025
1,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.8682999998418381,5.557600000429375
1,admin' --,1,SQL Injection,0.955691933631897,2.1002999992560945,5.665699999553908
1,' OR 'a'='a,1,SQL Injection,0.9630976915359497,2.0307999993747217,5.472100000588398
1,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.678199999332719,5.681999999978871
1,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.7537000003358116,5.066700000497804
1,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.7728000002534827,4.945799999404699
1,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.5933999993649195,4.656899999645248
2,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.5284999999494175,4.70839999979944
2,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.8559000000095693,4.830699999729404
2,admin' --,1,SQL Injection,0.955691933631897,1.5851999996812083,4.45190000027651
2,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.5471999995497754,4.7710999997434556
2,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.7076000003726222,5.025299999942945
2,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6069000002971734,4.621899999619927
2,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6163000000233296,4.638800000066112
2,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7229999994015088,4.932499999995343
3,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.5297999998438172,4.572300000290852
3,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.6241000002992223,4.584100000101898
3,admin' --,1,SQL Injection,0.955691933631897,1.5554000001429813,4.713899999842397
3,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6261999999187537,5.02520000009099
3,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.615999999557971,4.598999999871012
3,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6414000001532258,4.791299999851617
3,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.7205999993166188,4.8192000003837165
3,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.6233999995165505,4.6106999998301035
4,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.5745000000606524,4.638499999600754
4,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,2.032100000178616,5.112899999403453
4,admin' --,1,SQL Injection,0.955691933631897,1.554999999825668,4.800900000191177
4,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.5565000003334717,4.609900000104972
4,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.7344999996566912,5.0019000000247615
4,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.5997999998944579,4.967599999872618
4,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.638499999899068,4.581500000313099
4,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.637299999856623,4.764199999954144
5,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6900999999052146,4.972800000359712
5,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.6598000001977198,4.709599999841885
5,admin' --,1,SQL Injection,0.955691933631897,1.568300000144518,4.651299999750336
5,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6668999996909406,4.7647999999753665
5,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6408000001320033,4.718500000308268
5,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.8114000004061381,5.350999999791384
5,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,2.0351999992271885,5.816300000333285
5,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,2.3162999996202416,5.880300000171701
6,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6335999998773332,4.958499999702326
6,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.88479999997071,5.09909999982483
6,admin' --,1,SQL Injection,0.955691933631897,1.6205000001718872,4.847600000175589
