Model,Feature_Method,Accuracy,Precision,Recall,F1_score,Training_Time_Seconds,Average_Prediction_Latency_ms
Logistic Regression,Character-level n-gram,0.9936934023285899,1.0,0.9828646748681898,0.9913582982495014,0.16907779999974082,0.00031345407499101444
Random Forest,Character-level n-gram,0.9951487710219923,0.9995551601423488,0.9872583479789103,0.993368700265252,1.4453480000001946,0.009323447606671354
XGBoost,Character-level n-gram,0.9948253557567918,0.9991103202846975,0.9868189806678384,0.9929266136162688,48.67961689999993,0.0052812419146386754
